Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68f6434058f7c62866582e82,63b6be87ead45e4fa772fbf5,APPROVED,Not Applicable,2025-10-20T14:12:22.665000Z,2025-10-20T14:14:53.633000Z,2025-10-20T19:19:16.898000Z,2025-10-20T14:14:54.471144Z,151.0,C1BZPBSV,10684,41,Female,White,United States,United States,United States,English,No,Full-Time
68f6435216f9543802533adc,5d617ba9364f9a0019f1dac3,APPROVED,Not Applicable,2025-10-20T14:12:34.919000Z,2025-10-20T14:14:59.275000Z,2025-10-20T19:17:44.679000Z,2025-10-20T14:15:00.095139Z,145.0,C1BZPBSV,12950,39,Female,Asian,Japan,United States,United States,Japanese,No,DATA_EXPIRED
68f6435374d3dcbff86672c4,6777d289f3eaa43bfd9c878c,APPROVED,Not Applicable,2025-10-20T14:12:40.389000Z,2025-10-20T14:17:42.540000Z,2025-10-20T19:18:34.381000Z,2025-10-20T14:17:43.336095Z,303.0,C1BZPBSV,2986,33,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
68f6435ce5eea13fb73f9d03,67d5d7068c0132f8de37783d,APPROVED,Not Applicable,2025-10-20T14:12:56.897000Z,2025-10-20T14:23:55.984000Z,2025-10-20T19:19:34.077000Z,2025-10-20T14:23:57.313728Z,660.0,C1BZPBSV,2673,54,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68f64364073ab54c668b0245,59e7477e3e4b5a00016aa4d2,APPROVED,Not Applicable,2025-10-20T14:13:21.775000Z,2025-10-20T14:19:59.457000Z,2025-10-20T19:18:11.905000Z,2025-10-20T14:20:00.315525Z,398.0,C1BZPBSV,12054,60,Male,White,United States,United States,United States,English,No,Full-Time
68f643794fb9b140fa193e63,6646476ce43edfa9033b00d5,APPROVED,Not Applicable,2025-10-20T14:13:17.946000Z,2025-10-20T14:16:12.648000Z,2025-10-20T19:19:17.409000Z,2025-10-20T14:16:28.094149Z,175.0,C1BZPBSV,896,35,Female,White,United States,United States,United States,English,No,Full-Time
68f643a03855cad5fed54391,5cbe00898f939c0017c0b9d8,APPROVED,Not Applicable,2025-10-20T14:13:56.082000Z,2025-10-20T14:17:47.471000Z,2025-10-20T19:18:12.243000Z,2025-10-20T14:17:48.174077Z,232.0,C1BZPBSV,8757,59,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68f643ac39bc165838e066f6,65cb586a1166caf7eb546dda,APPROVED,Not Applicable,2025-10-20T14:14:17.182000Z,2025-10-20T14:17:30.094000Z,2025-10-20T19:17:46.986000Z,2025-10-20T14:17:30.817869Z,193.0,C1BZPBSV,5408,52,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68f643ca627845cdadfc800f,56fb454534a0d300061a5070,APPROVED,Not Applicable,2025-10-20T14:14:37.880000Z,2025-10-20T14:17:22.773000Z,2025-10-20T19:19:17.875000Z,2025-10-20T14:17:23.608545Z,165.0,C1BZPBSV,2101,38,Female,White,United States,United States,United States,English,No,Full-Time
68f643e907624fb21aafbf91,612a5744ab67e0bc1b93dd8b,APPROVED,Not Applicable,2025-10-20T14:15:11.967000Z,2025-10-20T14:18:08.469000Z,2025-10-20T19:18:34.706000Z,2025-10-20T14:18:09.247440Z,177.0,C1BZPBSV,9236,33,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
68f643ed35f2a4f7701d6e49,66d1ed402b542721068894ed,APPROVED,Not Applicable,2025-10-20T14:15:14.888000Z,2025-10-20T14:17:28.139000Z,2025-10-20T19:19:06.421000Z,2025-10-20T14:17:28.980834Z,134.0,C1BZPBSV,851,27,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68f6440116f9543802533af0,67afa55fbc4aa45a19e07e11,APPROVED,Not Applicable,2025-10-20T14:15:34.610000Z,2025-10-20T14:22:16.366000Z,2025-10-20T19:17:26.753000Z,2025-10-20T14:22:17.115518Z,402.0,C1BZPBSV,1025,27,Male,Black,Kenya,United States,Kenya,English,Yes,Part-Time
68f6440708e5cb42cac1fe32,677e1162b6336c8e344d1435,APPROVED,Not Applicable,2025-10-20T14:15:40.996000Z,2025-10-20T14:20:45.575000Z,2025-10-20T19:18:35.067000Z,2025-10-20T14:20:46.433277Z,305.0,C1BZPBSV,257,29,Male,White,United States,United States,United States,English,Yes,Full-Time
68f64407f2081e0dbe533f6c,6098164e4c37ed73ca9c74f5,APPROVED,Not Applicable,2025-10-20T14:15:41.044000Z,2025-10-20T14:19:45.654000Z,2025-10-20T19:20:01.302000Z,2025-10-20T14:19:46.461267Z,245.0,C1BZPBSV,5385,23,Female,White,United States,United States,United States,English,No,Full-Time
68f64419510a795a423f2cfe,66c26b01a3d551a7d8bd342c,APPROVED,Not Applicable,2025-10-20T14:16:15.691000Z,2025-10-20T14:19:38.851000Z,2025-10-20T19:18:12.659000Z,2025-10-20T14:19:39.649738Z,204.0,C1BZPBSV,4968,59,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68f6441bef0869bde7f973d9,6655d677ba623bec9e274502,APPROVED,Not Applicable,2025-10-20T14:15:59.480000Z,2025-10-20T14:18:28.360000Z,2025-10-20T19:17:42.422000Z,2025-10-20T14:18:29.215413Z,149.0,C1BZPBSV,1813,31,Female,Asian,Nepal,United States,United States,Nepali,DATA_EXPIRED,Full-Time
68f6441e08e5cb42cac1fe39,667335f0570884e306616b2a,APPROVED,Not Applicable,2025-10-20T14:16:02.756000Z,2025-10-20T14:22:58.117000Z,2025-10-20T19:20:02.201000Z,2025-10-20T14:22:58.980784Z,416.0,C1BZPBSV,1371,61,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
