Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68ff7bc044bf00a7494b2c58,6758dfba40a30c80e461d98f,APPROVED,Not Applicable,2025-10-27T14:03:53.693000Z,2025-10-27T14:06:22.929000Z,2025-10-28T14:02:01.937000Z,2025-10-27T14:06:23.683191Z,150.0,C1BZPBSV,1870,39,Female,Black,United States,United States,United States,English,No,Part-Time
68ff7c029af8be4ff4125323,664521606b8ee569d8076068,APPROVED,Not Applicable,2025-10-27T14:04:53.141000Z,2025-10-27T14:08:20.949000Z,2025-10-28T14:01:57.497000Z,2025-10-27T14:08:21.806103Z,208.0,C1BZPBSV,1813,29,Female,Mixed,United States,United States,United States,English,No,Full-Time
68ff7cd07cef69845b5651bd,634ef87aec0966557c825573,APPROVED,Not Applicable,2025-10-27T14:08:49.472000Z,2025-10-27T14:12:22.536000Z,2025-10-28T14:01:08.949000Z,2025-10-27T14:12:23.666095Z,214.0,C1BZPBSV,7246,32,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
68ff7ceda5583e7a6c1a68cf,6643dcdaee723e90ec897171,APPROVED,Not Applicable,2025-10-27T14:08:49.663000Z,2025-10-27T14:12:05.550000Z,2025-10-28T14:01:41.481000Z,2025-10-27T14:12:06.352415Z,196.0,C1BZPBSV,2402,48,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68ff7cef4401f9c4a39ca735,6056bcf1cee7a41435889255,APPROVED,Not Applicable,2025-10-27T14:08:51.129000Z,2025-10-27T14:12:23.040000Z,2025-10-28T14:01:09.225000Z,2025-10-27T14:12:23.726441Z,212.0,C1BZPBSV,2608,32,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68ff7cf6618c5c78ffee31b2,65293fa9b73b0edd4fd93b95,APPROVED,Not Applicable,2025-10-27T14:09:03.783000Z,2025-10-27T14:13:14.607000Z,2025-10-28T14:01:09.607000Z,2025-10-27T14:53:37.432108Z,251.0,C1BZPBSV,4696,30,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68ff7d05250389f2aaa25664,671fef4fbb7859f8518c4ab2,APPROVED,Not Applicable,2025-10-27T14:09:13.883000Z,2025-10-27T14:11:22.562000Z,2025-10-28T14:01:09.912000Z,2025-10-27T14:11:23.501938Z,129.0,C1BZPBSV,1272,27,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
68ff7d14defbc11f1ba39727,60a2a8570a0f9cc00d6b9d1a,APPROVED,Not Applicable,2025-10-27T14:09:31.666000Z,2025-10-27T14:12:37.029000Z,2025-10-28T14:01:41.786000Z,2025-10-27T14:12:37.755768Z,186.0,C1BZPBSV,4991,46,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68ff7d1c76d7e345045a641d,63d6873b65a6170d64a652f6,APPROVED,Not Applicable,2025-10-27T14:09:43.243000Z,2025-10-27T14:15:04.918000Z,2025-10-28T14:00:51.134000Z,2025-10-27T14:15:07.374507Z,322.0,C1BZPBSV,7773,43,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
68ff7d1dc860a4388903f4c8,6716bc2ebbb32fd48b838094,APPROVED,Not Applicable,2025-10-27T14:09:37.192000Z,2025-10-27T14:12:12.193000Z,2025-10-28T14:00:34.683000Z,2025-10-27T14:12:12.906966Z,156.0,C1BZPBSV,699,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
